CP	Nom	Population	Categorie
01000	Bourg-en-Bresse	39882	2
01000	Saint-Denis-lès-Bourg	5492	3
01090	Montmerle-sur-Saône	3818	3
01090	Guéreins	1341	3
01090	Montceaux	1214	3
01090	Genouilleux	605	3
01100	Oyonnax	22459	2
01100	Arbent	3458	3
01100	Géovreisset	912	3
01110	Hauteville-Lompnes	3971	3
01110	Cormaranche-en-Bugey	828	3
01110	Brénod	543	3
01120	Montluel	7112	3
01120	Dagneux	4183	3
01120	La Boisse	2908	3
01120	Niévroz	1495	3
01120	Thil	1050	3
01120	Pizay	780	3
01120	Sainte-Croix	530	3
01130	Les Neyrolles	632	3
01140	Saint-Didier-sur-Chalaronne	2768	3
01140	Thoissey	1558	3
01140	Saint-Étienne-sur-Chalaronne	1479	3
01140	Mogneneins	737	3
01140	Garnerans	660	3
01140	Illiat	572	3
01140	Peyzieux-sur-Saône	517	3
01150	Lagnieu	6785	3
01150	Chazey-sur-Ain	1520	3
01150	Leyment	1265	3
01150	Vaux-en-Bugey	1184	3
01150	Villebois	1160	3
01150	Saint-Sorlin-en-Bugey	1055	3
01150	Sault-Brénaz	1040	3
01150	Saint-Vulbas	954	3
01150	Sainte-Julie	912	3
01150	Blyes	907	3
01160	Pont-d'Ain	2636	3
01160	Saint-Martin-du-Mont	1681	3
01160	Neuville-sur-Ain	1592	3
01160	Priay	1521	3
01160	Druillat	1144	3
01160	Varambon	519	3
01170	Gex	10446	2
01170	Cessy	4167	3
01170	Échenevex	1722	3
01170	Ségny	1706	3
01170	Chevry	1269	3
01170	Vesancy	529	3
01190	Pont-de-Vaux	2219	3
01190	Saint-Bénigne	1185	3
01190	Reyssouze	954	3
01190	Chevroux	938	3
01190	Gorrevod	802	3
01190	Chavannes-sur-Reyssouze	697	3
01190	Sermoyer	674	3
01190	Ozan	625	3
01190	Saint-Étienne-sur-Reyssouze	540	3
01200	Bellegarde-sur-Valserine	11630	2
01200	Châtillon-en-Michaille	3134	3
01200	Lancrans	1046	3
01200	Léaz	577	3
01200	Confort	539	3
01200	Billiat	516	3
01210	Ferney-Voltaire	8452	3
01210	Ornex	3779	3
01220	Divonne-les-Bains	8388	3
01220	Sauverny	1083	3
01220	Grilly	775	3
01230	Saint-Rambert-en-Bugey	2191	3
01230	Tenay	1103	3
01230	Torcieu	694	3
01240	Saint-Paul-de-Varax	1526	3
01240	Certines	1447	3
01240	Lent	1357	3
01240	Dompierre-sur-Veyle	1210	3
01240	Servas	1186	3
01240	Saint-André-sur-Vieux-Jonc	1091	3
01240	Marlieux	931	3
01250	Ceyzériat	2838	3
01250	Montagnat	1693	3
01250	Jasseron	1622	3
01250	Tossiat	1389	3
01250	Villereversure	1211	3
01250	Bohas-Meyriat-Rignat	832	3
01250	Revonnas	830	3
01250	Simandre-sur-Suran	664	3
01250	Chavannes-sur-Suran	638	3
01250	Corveissiat	612	3
01260	Champagne-en-Valromey	771	3
01270	Coligny	1160	3
01270	Beaupont	650	3
01270	Villemotier	634	3
01280	Prévessin-Moëns	6806	3
01290	Grièges	1913	3
01290	Pont-de-Veyle	1597	3
01290	Laiz	1148	3
01290	Saint-Jean-sur-Veyle	1087	3
01290	Cormoranche-sur-Saône	1064	3
01290	Cruzilles-lès-Mépillat	828	3
01290	Biziat	807	3
01290	Saint-André-d'Huiriat	541	3
01300	Belley	8761	3
01300	Virignin	882	3
01300	Brégnier-Cordon	862	3
01300	Peyrieu	834	3
01300	Saint-Benoît	792	3
01300	Chazey-Bons	775	3
01300	Massignieu-de-Rives	625	3
01300	Nattages	574	3
01300	Contrevoz	538	3
01310	Polliat	2388	3
01310	Buellas	1694	3
01310	Confrançon	1200	3
